Frame,Hand,Landmark,x,y,z
0,Right,WRIST,911.0957336425781,407.14473724365234,-1.2038199770358915e-07
0,Right,THUMB_CPC,886.9242858886719,364.37976837158203,-0.011113908141851425
0,Right,THUMB_MCP,838.4375,332.5839614868164,-0.024440117180347443
0,Right,THUMB_IP,793.9967346191406,315.8538222312927,-0.03515736758708954
0,Right,THUMB_TIP,758.7361145019531,309.87101554870605,-0.04899674281477928
0,Right,INDEX_FINGER_MCP,847.8855133056641,308.36307764053345,-0.05475812032818794
0,Right,INDEX_FINGER_PIP,779.6049499511719,280.9388208389282,-0.07931738346815109
0,Right,INDEX_FINGER_DIP,731.9217681884766,278.11851024627686,-0.09313763678073883
0,Right,INDEX_FINGER_TIP,696.1822509765625,282.38245010375977,-0.10175682604312897
0,Right,MIDDLE_FINGER_MCP,862.3523712158203,334.7881579399109,-0.059250690042972565
0,Right,MIDDLE_FINGER_PIP,785.2198028564453,329.710328578949,-0.08377432823181152
0,Right,MIDDLE_FINGER_DIP,732.8530120849609,341.29573345184326,-0.09316141158342361
0,Right,MIDDLE_FINGER_TIP,698.411865234375,349.40924406051636,-0.10079564154148102
0,Right,RING_FINGER_PIP,870.4215240478516,371.2756633758545,-0.06230776757001877
0,Right,RING_FINGER_DIP,796.9493865966797,370.5334424972534,-0.08535072952508926
0,Right,RING_FINGER_TIP,747.9202270507812,379.69732761383057,-0.0915675237774849
0,Right,RING_FINGER_MCP,718.8336181640625,386.5564012527466,-0.09547214210033417
0,Right,PINKY_MCP,872.3834991455078,409.66747283935547,-0.06470168381929398
0,Right,PINKY_PIP,810.6751251220703,412.5889778137207,-0.08613133430480957
0,Right,PINKY_DIP,769.7422790527344,416.45612239837646,-0.09171264618635178
0,Right,PINKY_TIP,743.5031127929688,419.1184616088867,-0.09435384720563889
0,Left,WRIST,503.47667694091797,588.4935665130615,3.891494202434842e-07
0,Left,THUMB_CPC,546.0628128051758,545.4934644699097,-0.013959532603621483
0,Left,THUMB_MCP,600.1445770263672,518.6367416381836,-0.03549434617161751
0,Left,THUMB_IP,649.1806030273438,516.6849946975708,-0.053064435720443726
0,Left,THUMB_TIP,691.9058227539062,524.0970325469971,-0.07082301378250122
0,Left,INDEX_FINGER_MCP,576.9005584716797,497.49913215637207,-0.08560572564601898
0,Left,INDEX_FINGER_PIP,660.9471893310547,489.7781467437744,-0.11964987963438034
0,Left,INDEX_FINGER_DIP,716.4332580566406,495.6518840789795,-0.1329319030046463
0,Left,INDEX_FINGER_TIP,757.620849609375,502.0857095718384,-0.13954170048236847
0,Left,MIDDLE_FINGER_MCP,562.2149658203125,537.6805973052979,-0.09254218637943268
0,Left,MIDDLE_FINGER_PIP,650.9724426269531,541.3673257827759,-0.12833639979362488
0,Left,MIDDLE_FINGER_DIP,711.2727355957031,554.8111581802368,-0.13712406158447266
0,Left,MIDDLE_FINGER_TIP,750.8469390869141,565.3784608840942,-0.14201760292053223
0,Left,RING_FINGER_PIP,552.4200057983398,586.070351600647,-0.0972081646323204
0,Left,RING_FINGER_DIP,637.1059036254883,596.2091016769409,-0.12748752534389496
0,Left,RING_FINGER_TIP,693.9551544189453,607.6284027099609,-0.13399533927440643
0,Left,RING_FINGER_MCP,732.8496551513672,611.661114692688,-0.1362052708864212
0,Left,PINKY_MCP,548.3082580566406,633.9286422729492,-0.10119076073169708
0,Left,PINKY_PIP,618.6897659301758,648.4222269058228,-0.1260695457458496
0,Left,PINKY_DIP,667.6062774658203,655.0928163528442,-0.1342308074235916
0,Left,PINKY_TIP,706.7932891845703,657.1094512939453,-0.13821445405483246
1,Right,WRIST,900.4598236083984,421.1098623275757,-1.4866226649701275e-07
1,Right,THUMB_CPC,856.8937683105469,385.87730884552,-0.0021590818651020527
1,Right,THUMB_MCP,814.9102783203125,352.50962018966675,-0.013855249620974064
1,Right,THUMB_IP,779.0934753417969,335.309579372406,-0.025372840464115143
1,Right,THUMB_TIP,745.5554962158203,327.30945110321045,-0.038866378366947174
1,Right,INDEX_FINGER_MCP,838.9705657958984,311.3151168823242,-0.045506641268730164
1,Right,INDEX_FINGER_PIP,780.4430389404297,277.44712114334106,-0.07212116569280624
1,Right,INDEX_FINGER_DIP,733.9177703857422,278.07937145233154,-0.08643098920583725
1,Right,INDEX_FINGER_TIP,699.6486663818359,286.9110059738159,-0.09431576728820801
1,Right,MIDDLE_FINGER_MCP,857.7200317382812,332.9489779472351,-0.05577092990279198
1,Right,MIDDLE_FINGER_PIP,781.5398406982422,325.51204919815063,-0.08212149888277054
1,Right,MIDDLE_FINGER_DIP,728.8193511962891,338.70169401168823,-0.09045995771884918
1,Right,MIDDLE_FINGER_TIP,693.4980010986328,350.4139566421509,-0.09600543230772018
1,Right,RING_FINGER_PIP,869.2790985107422,367.5306558609009,-0.0650470182299614
1,Right,RING_FINGER_DIP,794.2066192626953,368.26536655426025,-0.08900333940982819
1,Right,RING_FINGER_TIP,744.3383026123047,379.2000675201416,-0.09349412471055984
1,Right,RING_FINGER_MCP,710.2238464355469,386.34774684906006,-0.09512875974178314
1,Right,PINKY_MCP,873.3043670654297,406.5512180328369,-0.07325754314661026
1,Right,PINKY_PIP,813.4967041015625,411.88319206237793,-0.09473652392625809
1,Right,PINKY_DIP,774.1719818115234,415.5988883972168,-0.10064053535461426
1,Right,PINKY_TIP,744.9420928955078,415.6669092178345,-0.10292316228151321
1,Left,WRIST,504.2692565917969,593.6482572555542,7.030456572465482e-07
1,Left,THUMB_CPC,543.4719848632812,546.7197275161743,-0.009508377872407436
1,Left,THUMB_MCP,598.2819366455078,518.1121015548706,-0.029661957174539566
1,Left,THUMB_IP,650.2906799316406,512.7294445037842,-0.04734145104885101
1,Left,THUMB_TIP,692.3455810546875,510.65577507019043,-0.06608766317367554
