Frame,Hand,Landmark,x,y,z
0,Right,WRIST,831.2356567382812,420.4914093017578,-3.602299329941161e-07
0,Right,THUMB_CPC,817.7027893066406,372.01033115386963,-0.017992405220866203
0,Right,THUMB_MCP,804.5819091796875,334.13702487945557,-0.035014983266592026
0,Right,THUMB_IP,791.1818695068359,310.16605854034424,-0.05043910816311836
0,Right,THUMB_TIP,775.3853607177734,289.15687322616577,-0.06728807091712952
0,Right,INDEX_FINGER_MCP,870.3282165527344,298.54353189468384,-0.04325587674975395
0,Right,INDEX_FINGER_PIP,833.1991577148438,269.0381169319153,-0.06992204487323761
0,Right,INDEX_FINGER_DIP,795.0913238525391,260.39889335632324,-0.0887242779135704
0,Right,INDEX_FINGER_TIP,757.1247100830078,255.3260850906372,-0.09943634271621704
0,Right,MIDDLE_FINGER_MCP,888.5389709472656,333.40079069137573,-0.04892881587147713
0,Right,MIDDLE_FINGER_PIP,827.2467041015625,311.48261547088623,-0.07642439007759094
0,Right,MIDDLE_FINGER_DIP,768.2827758789062,317.3744201660156,-0.08936277031898499
0,Right,MIDDLE_FINGER_TIP,723.7956237792969,322.29050159454346,-0.09527476131916046
0,Right,RING_FINGER_PIP,889.7735595703125,379.534592628479,-0.05482208728790283
0,Right,RING_FINGER_DIP,815.0997924804688,368.7203121185303,-0.08114354312419891
0,Right,RING_FINGER_TIP,762.6182556152344,369.4304323196411,-0.08339732140302658
0,Right,RING_FINGER_MCP,728.8348388671875,368.71400356292725,-0.08092184364795685
0,Right,PINKY_MCP,879.1974639892578,423.25318336486816,-0.061695393174886703
0,Right,PINKY_PIP,829.1013336181641,418.0503845214844,-0.0812835767865181
0,Right,PINKY_DIP,793.807373046875,413.7594509124756,-0.07823333889245987
0,Right,PINKY_TIP,771.2057495117188,410.84712982177734,-0.07249665260314941
1,Right,WRIST,843.8719177246094,408.2369327545166,-2.812370780702622e-07
1,Right,THUMB_CPC,820.4991912841797,361.2393093109131,-0.018227646127343178
1,Right,THUMB_MCP,799.2810821533203,326.6900968551636,-0.03882875293493271
1,Right,THUMB_IP,776.7212677001953,304.17514085769653,-0.05816269293427467
1,Right,THUMB_TIP,750.30517578125,286.0492444038391,-0.0790402814745903
1,Right,INDEX_FINGER_MCP,862.3660278320312,274.94994163513184,-0.049385007470846176
1,Right,INDEX_FINGER_PIP,812.8447723388672,250.85838317871094,-0.08079042285680771
1,Right,INDEX_FINGER_DIP,770.2130889892578,253.66863012313843,-0.10250531136989594
1,Right,INDEX_FINGER_TIP,731.7324829101562,261.96266412734985,-0.11550795286893845
1,Right,MIDDLE_FINGER_MCP,887.0613098144531,310.13545989990234,-0.05712026730179787
1,Right,MIDDLE_FINGER_PIP,825.8739471435547,300.8803367614746,-0.09084407240152359
1,Right,MIDDLE_FINGER_DIP,767.0610046386719,316.53053283691406,-0.10464409738779068
1,Right,MIDDLE_FINGER_TIP,723.0107879638672,328.80494356155396,-0.11081209778785706
1,Right,RING_FINGER_PIP,895.3402709960938,359.64221477508545,-0.06563975661993027
1,Right,RING_FINGER_DIP,829.67529296875,363.335337638855,-0.09565416723489761
1,Right,RING_FINGER_TIP,773.6064147949219,370.0606870651245,-0.09682580083608627
1,Right,RING_FINGER_MCP,736.8775177001953,373.64124298095703,-0.09359044581651688
1,Right,PINKY_MCP,890.2035522460938,407.81245708465576,-0.07504541426897049
1,Right,PINKY_PIP,837.6885986328125,411.62827491760254,-0.09627123177051544
1,Right,PINKY_DIP,803.2355499267578,409.334192276001,-0.09397812187671661
1,Right,PINKY_TIP,783.5588073730469,405.8344030380249,-0.08926724642515182
1,Left,WRIST,462.96520233154297,585.6711959838867,3.7436834077198e-07
1,Left,THUMB_CPC,524.6713256835938,540.3676986694336,-0.010519569739699364
1,Left,THUMB_MCP,594.3503189086914,516.1194133758545,-0.028490334749221802
1,Left,THUMB_IP,655.6421661376953,521.6889238357544,-0.04344647377729416
1,Left,THUMB_TIP,702.2218322753906,539.263916015625,-0.05818966403603554
1,Left,INDEX_FINGER_MCP,578.5592269897461,495.97010135650635,-0.07351291179656982
1,Left,INDEX_FINGER_PIP,678.9105987548828,498.6404228210449,-0.1056111603975296
1,Left,INDEX_FINGER_DIP,739.2259216308594,508.4506559371948,-0.11860131472349167
1,Left,INDEX_FINGER_TIP,784.5199584960938,517.5602960586548,-0.1248277798295021
1,Left,MIDDLE_FINGER_MCP,555.9102630615234,542.3694849014282,-0.08186601102352142
1,Left,MIDDLE_FINGER_PIP,661.8116760253906,559.4010829925537,-0.11535397171974182
1,Left,MIDDLE_FINGER_DIP,728.4298706054688,576.9349193572998,-0.12502522766590118
1,Left,MIDDLE_FINGER_TIP,774.1667938232422,591.6108512878418,-0.13032624125480652
1,Left,RING_FINGER_PIP,537.287712097168,597.2935724258423,-0.08812602609395981
1,Left,RING_FINGER_DIP,638.3195495605469,626.8374395370483,-0.11749295890331268
1,Left,RING_FINGER_TIP,702.6371002197266,642.2732734680176,-0.12536977231502533
1,Left,RING_FINGER_MCP,748.5844421386719,648.6991167068481,-0.12795987725257874
1,Left,PINKY_MCP,523.7323760986328,651.1881637573242,-0.09342273324728012
1,Left,PINKY_PIP,604.5035171508789,682.8268146514893,-0.11743330210447311
1,Left,PINKY_DIP,656.8721008300781,692.7323627471924,-0.1248316541314125
1,Left,PINKY_TIP,700.2212524414062,694.167366027832,-0.1276487410068512
2,Right,WRIST,852.2281646728516,404.03350353240967,-2.7989312911813613e-07
2,Right,THUMB_CPC,824.0304565429688,353.68513584136963,-0.01943957805633545
2,Right,THUMB_MCP,799.6063995361328,317.77992725372314,-0.04229142889380455
2,Right,THUMB_IP,770.8744812011719,299.62244510650635,-0.06315973401069641
2,Right,THUMB_TIP,740.9909820556641,287.7803421020508,-0.08575275540351868
2,Right,INDEX_FINGER_MCP,865.2500915527344,276.76339387893677,-0.061296865344047546
2,Right,INDEX_FINGER_PIP,808.7596893310547,245.00741243362427,-0.09562788903713226
2,Right,INDEX_FINGER_DIP,762.7848052978516,251.89270734786987,-0.11643915623426437
2,Right,INDEX_FINGER_TIP,724.5952606201172,266.1288642883301,-0.1283656656742096
2,Right,MIDDLE_FINGER_MCP,890.3056335449219,314.4877624511719,-0.06909593194723129
2,Right,MIDDLE_FINGER_PIP,828.0521392822266,302.0647144317627,-0.10381078720092773
2,Right,MIDDLE_FINGER_DIP,768.8294219970703,317.0673394203186,-0.11455074697732925
2,Right,MIDDLE_FINGER_TIP,728.8861083984375,331.4930319786072,-0.11967863887548447
2,Right,RING_FINGER_PIP,897.8742218017578,364.2146301269531,-0.0775558352470398
2,Right,RING_FINGER_DIP,833.6435699462891,362.7719449996948,-0.10852988809347153
2,Right,RING_FINGER_TIP,775.1826477050781,368.10962677001953,-0.10787554830312729
2,Right,RING_FINGER_MCP,737.042236328125,374.6454620361328,-0.10428401827812195
2,Right,PINKY_MCP,891.0462951660156,411.9911241531372,-0.08684568852186203
2,Right,PINKY_PIP,838.7767791748047,411.274995803833,-0.11027486622333527
2,Right,PINKY_DIP,803.5111999511719,408.4584617614746,-0.10804630070924759
2,Right,PINKY_TIP,782.4742889404297,404.84657764434814,-0.10356481373310089
2,Left,WRIST,471.1353302001953,593.0298471450806,6.93909441906726e-07
2,Left,THUMB_CPC,526.2622833251953,541.163477897644,-0.007991936057806015
2,Left,THUMB_MCP,596.0776519775391,518.8355684280396,-0.026419421657919884
2,Left,THUMB_IP,656.9734954833984,528.2223987579346,-0.04277613013982773
2,Left,THUMB_TIP,700.9886169433594,544.898099899292,-0.05943853780627251
2,Left,INDEX_FINGER_MCP,586.0373687744141,499.0431833267212,-0.06963598728179932
2,Left,INDEX_FINGER_PIP,687.2721099853516,498.8239288330078,-0.09994800388813019
2,Left,INDEX_FINGER_DIP,747.1921539306641,510.9199619293213,-0.1128583624958992
2,Left,INDEX_FINGER_TIP,791.2846374511719,521.8184852600098,-0.11906386911869049
2,Left,MIDDLE_FINGER_MCP,561.3279342651367,546.702561378479,-0.08007998764514923
2,Left,MIDDLE_FINGER_PIP,669.9013519287109,560.898871421814,-0.11386346071958542
2,Left,MIDDLE_FINGER_DIP,736.8735504150391,575.9649896621704,-0.12234820425510406
