Frame,Hand,Landmark,x,y,z
0,Right,WRIST,812.6905822753906,335.45053482055664,9.272420165018502e-09
0,Right,THUMB_CPC,794.9298095703125,306.88876390457153,-0.010410432703793049
0,Right,THUMB_MCP,767.7237701416016,289.6094799041748,-0.023222101852297783
0,Right,THUMB_IP,740.5720520019531,282.6047086715698,-0.03340277820825577
0,Right,THUMB_TIP,718.5826110839844,281.7974281311035,-0.04568406194448471
0,Right,INDEX_FINGER_MCP,779.1621398925781,276.59040212631226,-0.04804319143295288
0,Right,INDEX_FINGER_PIP,742.9042053222656,259.7252941131592,-0.06677944958209991
0,Right,INDEX_FINGER_DIP,712.7117919921875,261.01056575775146,-0.07572286576032639
0,Right,INDEX_FINGER_TIP,689.6601867675781,266.5935945510864,-0.08096428215503693
0,Right,MIDDLE_FINGER_MCP,789.0874481201172,299.3119740486145,-0.05137500911951065
0,Right,MIDDLE_FINGER_PIP,744.0289306640625,296.6989231109619,-0.07020420581102371
0,Right,MIDDLE_FINGER_DIP,707.4160003662109,303.42798471450806,-0.07606031000614166
0,Right,MIDDLE_FINGER_TIP,683.8680267333984,309.7431492805481,-0.08071868866682053
0,Right,RING_FINGER_PIP,793.3467102050781,327.080819606781,-0.05340878292918205
0,Right,RING_FINGER_DIP,748.2134246826172,330.7294821739197,-0.0696437656879425
0,Right,RING_FINGER_TIP,716.9113922119141,333.907470703125,-0.07219982892274857
0,Right,RING_FINGER_MCP,698.8680267333984,334.74013566970825,-0.07394621521234512
0,Right,PINKY_MCP,792.8427886962891,354.1809368133545,-0.0551891066133976
0,Right,PINKY_PIP,754.6788787841797,362.20104217529297,-0.06914515793323517
0,Right,PINKY_DIP,731.1424255371094,363.93259048461914,-0.07084878534078598
0,Right,PINKY_TIP,717.1419525146484,363.63664627075195,-0.07143793255090714
1,Right,WRIST,803.8564300537109,344.7413420677185,-1.4963870142992164e-08
1,Right,THUMB_CPC,779.041748046875,316.141676902771,-0.005411893595010042
1,Right,THUMB_MCP,753.3894348144531,298.58893632888794,-0.01639285869896412
1,Right,THUMB_IP,729.4551086425781,292.8982973098755,-0.025984257459640503
1,Right,THUMB_TIP,711.4422607421875,292.6106786727905,-0.037017203867435455
1,Right,INDEX_FINGER_MCP,773.5755920410156,276.5850806236267,-0.03974427282810211
1,Right,INDEX_FINGER_PIP,741.9384765625,255.00889778137207,-0.05850899592041969
1,Right,INDEX_FINGER_DIP,712.1295166015625,260.9632086753845,-0.06786807626485825
1,Right,INDEX_FINGER_TIP,689.5166778564453,272.80383110046387,-0.07266111671924591
1,Right,MIDDLE_FINGER_MCP,787.2892761230469,296.6555142402649,-0.045211005955934525
1,Right,MIDDLE_FINGER_PIP,743.3422088623047,293.8672614097595,-0.0630347728729248
1,Right,MIDDLE_FINGER_DIP,707.7861022949219,300.5607032775879,-0.06863883137702942
1,Right,MIDDLE_FINGER_TIP,681.6082000732422,307.2909450531006,-0.07265247404575348
1,Right,RING_FINGER_PIP,793.45458984375,325.8021354675293,-0.049624230712652206
1,Right,RING_FINGER_DIP,744.7273254394531,332.88310289382935,-0.06651017814874649
1,Right,RING_FINGER_TIP,710.6185913085938,337.7533721923828,-0.069891557097435
1,Right,RING_FINGER_MCP,685.396728515625,340.6841254234314,-0.0713208019733429
1,Right,PINKY_MCP,793.6231231689453,356.30719900131226,-0.053207602351903915
