Frame,Hand,Landmark,x,y,z
0,Right,WRIST,887.6498413085938,421.7699432373047,-3.8728035178792197e-07
0,Right,THUMB_CPC,856.1623382568359,362.8056335449219,-0.013021317310631275
0,Right,THUMB_MCP,824.0750122070312,317.10695028305054,-0.02762206457555294
0,Right,THUMB_IP,787.2866821289062,294.4726252555847,-0.04098355397582054
0,Right,THUMB_TIP,756.1886596679688,281.4201593399048,-0.05647836998105049
0,Right,INDEX_FINGER_MCP,864.5339965820312,277.0715260505676,-0.04581081122159958
0,Right,INDEX_FINGER_PIP,800.0447082519531,243.88779401779175,-0.07143694162368774
0,Right,INDEX_FINGER_DIP,755.1058197021484,249.47101593017578,-0.08701184391975403
0,Right,INDEX_FINGER_TIP,721.3874053955078,261.26818656921387,-0.09631282836198807
0,Right,MIDDLE_FINGER_MCP,883.2530212402344,313.7359070777893,-0.052230414003133774
0,Right,MIDDLE_FINGER_PIP,807.2344970703125,306.1323595046997,-0.07712150365114212
0,Right,MIDDLE_FINGER_DIP,751.7174530029297,316.5319061279297,-0.08808432519435883
0,Right,MIDDLE_FINGER_TIP,715.2339172363281,324.50177907943726,-0.09644697606563568
0,Right,RING_FINGER_PIP,891.1048126220703,360.0157928466797,-0.058684010058641434
0,Right,RING_FINGER_DIP,819.5318603515625,359.663028717041,-0.08421248197555542
0,Right,RING_FINGER_TIP,767.6477813720703,365.2972984313965,-0.08943209052085876
0,Right,RING_FINGER_MCP,733.9295196533203,370.0174283981323,-0.09164620190858841
0,Right,PINKY_MCP,891.0291290283203,406.2190103530884,-0.0651826560497284
0,Right,PINKY_PIP,835.8445739746094,407.8641700744629,-0.08653303980827332
0,Right,PINKY_DIP,806.317138671875,406.67859077453613,-0.08865132927894592
0,Right,PINKY_TIP,788.0516052246094,401.8865776062012,-0.08819254487752914
0,Left,WRIST,563.0722427368164,548.7591075897217,3.6362678201840026e-07
0,Left,THUMB_CPC,600.9488677978516,512.8932952880859,-0.021027635782957077
0,Left,THUMB_MCP,633.5565567016602,482.87057876586914,-0.04156321659684181
0,Left,THUMB_IP,667.1733856201172,468.03577423095703,-0.05782923474907875
0,Left,THUMB_TIP,700.0836944580078,463.74157905578613,-0.0745338425040245
0,Left,INDEX_FINGER_MCP,583.8052749633789,473.7305974960327,-0.07721298933029175
0,Left,INDEX_FINGER_PIP,657.1297454833984,467.05254077911377,-0.10589198768138885
0,Left,INDEX_FINGER_DIP,710.1990509033203,482.7571964263916,-0.11724952608346939
0,Left,INDEX_FINGER_TIP,743.055419921875,501.0454845428467,-0.12339945882558823
0,Left,MIDDLE_FINGER_MCP,561.7114639282227,517.1906661987305,-0.08014755696058273
0,Left,MIDDLE_FINGER_PIP,637.4198532104492,525.1119375228882,-0.11294981837272644
0,Left,MIDDLE_FINGER_DIP,696.8513488769531,540.0989627838135,-0.12404027581214905
0,Left,MIDDLE_FINGER_TIP,733.4261322021484,552.4378108978271,-0.13114722073078156
0,Left,RING_FINGER_PIP,546.0710525512695,564.6546936035156,-0.08185213804244995
0,Left,RING_FINGER_DIP,607.8675079345703,574.3899536132812,-0.11471154540777206
0,Left,RING_FINGER_TIP,665.2346038818359,587.702808380127,-0.1287558674812317
0,Left,RING_FINGER_MCP,704.6229553222656,593.5413122177124,-0.13661473989486694
0,Left,PINKY_MCP,532.0988845825195,612.7661418914795,-0.08320380002260208
0,Left,PINKY_PIP,558.3344268798828,633.3429765701294,-0.11375391483306885
0,Left,PINKY_DIP,594.1351318359375,643.1116247177124,-0.12851957976818085
0,Left,PINKY_TIP,625.5159378051758,646.4664459228516,-0.13795717060565948
1,Right,WRIST,900.311279296875,412.18793392181396,-2.870483513106592e-07
1,Right,THUMB_CPC,857.9840850830078,353.3682703971863,-0.006652845069766045
1,Right,THUMB_MCP,824.26513671875,313.0629515647888,-0.02125406265258789
1,Right,THUMB_IP,789.5314025878906,298.1412649154663,-0.03613487258553505
1,Right,THUMB_TIP,759.0840911865234,289.1771721839905,-0.05343237146735191
1,Right,INDEX_FINGER_MCP,869.256591796875,274.18840885162354,-0.0421728640794754
1,Right,INDEX_FINGER_PIP,807.4690246582031,246.26779317855835,-0.07030956447124481
1,Right,INDEX_FINGER_DIP,761.4517211914062,249.14578199386597,-0.0878196656703949
1,Right,INDEX_FINGER_TIP,724.4760131835938,257.64480113983154,-0.09786767512559891
1,Right,MIDDLE_FINGER_MCP,888.3298492431641,310.82122564315796,-0.052415844053030014
1,Right,MIDDLE_FINGER_PIP,810.5239868164062,304.0144658088684,-0.07842227071523666
1,Right,MIDDLE_FINGER_DIP,756.7150115966797,312.5868058204651,-0.08829403668642044
1,Right,MIDDLE_FINGER_TIP,717.9563140869141,318.8067412376404,-0.09560142457485199
1,Right,RING_FINGER_PIP,895.8197021484375,356.4557933807373,-0.06272558867931366
1,Right,RING_FINGER_DIP,819.2691802978516,355.9205961227417,-0.08873917907476425
1,Right,RING_FINGER_TIP,769.5452117919922,359.5242190361023,-0.09224864095449448
1,Right,RING_FINGER_MCP,734.4510650634766,361.6697072982788,-0.09303987771272659
1,Right,PINKY_MCP,894.5310211181641,401.80246353149414,-0.07242994755506516
1,Right,PINKY_PIP,833.6713409423828,400.87077140808105,-0.09321136772632599
1,Right,PINKY_DIP,809.9124145507812,398.30039978027344,-0.09434522688388824
1,Right,PINKY_TIP,796.9277954101562,392.3080015182495,-0.09328435361385345
1,Left,WRIST,552.7439117431641,567.1627521514893,4.501230819187185e-07
1,Left,THUMB_CPC,565.2503967285156,543.7449645996094,-0.023097645491361618
1,Left,THUMB_MCP,599.7808074951172,527.6054048538208,-0.05258365720510483
1,Left,THUMB_IP,640.1573944091797,517.3138761520386,-0.07824204117059708
1,Left,THUMB_TIP,685.0716400146484,500.55307388305664,-0.10711532086133957
1,Left,INDEX_FINGER_MCP,573.201789855957,500.44110774993896,-0.09522218257188797
1,Left,INDEX_FINGER_PIP,646.9149780273438,501.26868724823,-0.13656526803970337
1,Left,INDEX_FINGER_DIP,695.6476593017578,510.4809379577637,-0.15671445429325104
1,Left,INDEX_FINGER_TIP,734.7190093994141,523.0513143539429,-0.16945794224739075
1,Left,MIDDLE_FINGER_MCP,557.6261520385742,508.8144063949585,-0.10216406732797623
1,Left,MIDDLE_FINGER_PIP,634.9615478515625,513.5747480392456,-0.14627617597579956
1,Left,MIDDLE_FINGER_DIP,693.3836364746094,535.7676029205322,-0.15813399851322174
1,Left,MIDDLE_FINGER_TIP,740.5657196044922,552.79456615448,-0.16569244861602783
1,Left,RING_FINGER_PIP,557.6306533813477,528.8753128051758,-0.10779386758804321
1,Left,RING_FINGER_DIP,621.4877700805664,540.7221364974976,-0.14873316884040833
1,Left,RING_FINGER_TIP,678.3707427978516,561.9557476043701,-0.15494579076766968
1,Left,RING_FINGER_MCP,724.2323303222656,579.0472984313965,-0.15718001127243042
1,Left,PINKY_MCP,568.936653137207,555.831298828125,-0.11339890956878662
1,Left,PINKY_PIP,607.1693420410156,583.3934211730957,-0.14658699929714203
1,Left,PINKY_DIP,645.0091552734375,602.4566745758057,-0.15394842624664307
1,Left,PINKY_TIP,678.3872222900391,617.013087272644,-0.15755711495876312
2,Right,WRIST,905.1725769042969,407.75997161865234,-2.0676036172062595e-07
2,Right,THUMB_CPC,866.6023254394531,352.31411933898926,-0.007919708266854286
2,Right,THUMB_MCP,829.5272827148438,313.02151679992676,-0.02420385368168354
2,Right,THUMB_IP,788.8379669189453,300.01615047454834,-0.04023861512541771
2,Right,THUMB_TIP,754.1264343261719,294.89431142807007,-0.05861445888876915
2,Right,INDEX_FINGER_MCP,874.4051361083984,277.6951503753662,-0.04919261857867241
2,Right,INDEX_FINGER_PIP,815.3581237792969,244.15502786636353,-0.07858158648014069
2,Right,INDEX_FINGER_DIP,768.4158325195312,245.04575729370117,-0.09563328325748444
2,Right,INDEX_FINGER_TIP,730.5982971191406,253.639554977417,-0.10504564642906189
2,Right,MIDDLE_FINGER_MCP,892.3488616943359,314.56655502319336,-0.0587979219853878
2,Right,MIDDLE_FINGER_PIP,813.6370086669922,306.0691022872925,-0.08666347712278366
2,Right,MIDDLE_FINGER_DIP,761.4080047607422,313.8443326950073,-0.09591894596815109
2,Right,MIDDLE_FINGER_TIP,725.33935546875,320.21058797836304,-0.10232029855251312
2,Right,RING_FINGER_PIP,898.0105590820312,360.0556182861328,-0.06812594830989838
2,Right,RING_FINGER_DIP,819.1309356689453,356.8620300292969,-0.09542414546012878
2,Right,RING_FINGER_TIP,769.2140960693359,360.19556522369385,-0.09884621948003769
2,Right,RING_FINGER_MCP,734.7929382324219,362.5303316116333,-0.09903748333454132
2,Right,PINKY_MCP,893.9420318603516,403.9318370819092,-0.07669349014759064
2,Right,PINKY_PIP,833.7093353271484,399.7102975845337,-0.09839534014463425
2,Right,PINKY_DIP,808.5243988037109,397.14426040649414,-0.09951293468475342
2,Right,PINKY_TIP,794.3962097167969,393.12931537628174,-0.09801363945007324
3,Right,WRIST,905.1435089111328,406.7573404312134,-2.0873410733202036e-07
3,Right,THUMB_CPC,869.1965484619141,351.50134563446045,-0.008160402067005634
3,Right,THUMB_MCP,835.8126068115234,312.91950702667236,-0.024508856236934662
3,Right,THUMB_IP,798.9988708496094,299.44082736968994,-0.040423884987831116
3,Right,THUMB_TIP,766.9824981689453,294.072847366333,-0.05867191031575203
3,Right,INDEX_FINGER_MCP,875.9864044189453,275.8017039299011,-0.049843497574329376
3,Right,INDEX_FINGER_PIP,817.04345703125,244.867422580719,-0.07944995164871216
3,Right,INDEX_FINGER_DIP,770.6675720214844,247.3010230064392,-0.09649159014225006
3,Right,INDEX_FINGER_TIP,733.8533020019531,257.3416042327881,-0.10567717254161835
3,Right,MIDDLE_FINGER_MCP,895.0106048583984,312.32890605926514,-0.059090934693813324
3,Right,MIDDLE_FINGER_PIP,816.6584777832031,305.7989287376404,-0.08697635680437088
3,Right,MIDDLE_FINGER_DIP,765.4246520996094,313.9255714416504,-0.09604444354772568
3,Right,MIDDLE_FINGER_TIP,730.018310546875,320.3460931777954,-0.10212652385234833
3,Right,RING_FINGER_PIP,901.9184875488281,357.89875745773315,-0.06804980337619781
